state_abbr,year,quarter,moud_generic,utilization_type,number_of_prescriptions,total_amount_reimbursed,medicaid_amount_reimbursed,non_medicaid_amount_reimbursed,scripts_per100k,total_reimb_per100k,medicaid_reimb_per100k,nonmedicaid_reimb_per100k,pop
AK,2012,3,Buprenorphine,FFSU,706,166376.03,165733.41,642.62,96.54542421184199,22751.90424225517,22664.026026239568,87.87821601560043,NA
AK,2012,3,Methadone,FFSU,220,4712.55,4703.66,8.89,30.08497638329354,644.4407066140453,643.2250000683749,1.2157065456703617,NA
AK,2012,3,Naltrexone,FFSU,67,33808.38,31897.64,1910.74,9.162242807639396,4623.292335715516,4361.998845830906,261.29348988461044,NA
AK,2012,4,Buprenorphine,FFSU,728,183516.22,182476.42,1039.8,99.55392185017135,25095.823384778643,24953.630846399785,142.19253837885736,NA
AK,2012,4,Methadone,FFSU,249,5639.3499999999995,5639.3499999999995,0,34.05072327018223,771.1805071233019,771.1805071233019,0,NA
AK,2012,4,Naltrexone,FFSU,53,34874.41,33919.04,955.37,7.247744310520717,4769.071823778619,4638.425078836313,130.64674494230522,NA
AK,2013,1,Buprenorphine,FFSU,792,206686.72,204233.97,2452.75,107.28189401307431,27997.149986047934,27664.907984102774,332.24200194516163,NA
AK,2013,1,Methadone,FFSU,277,6072.719999999999,6072.719999999999,0,37.521571517198964,822.5920497614602,822.5920497614602,0,NA
AK,2013,1,Naltrexone,FFSU,92,39962.270000000004,38776.01,1186.26,12.462038193437925,5413.166685179115,5252.479539229684,160.68714594943123,NA
AK,2013,2,Buprenorphine,FFSU,1105,339711.82999999996,336711.81,3000.02,149.67991525814028,46016.32391546403,45609.950395669715,406.3735197943222,NA
AK,2013,2,Methadone,FFSU,283,6003.12,6003.12,0,38.33431313851013,813.1642469542508,813.1642469542508,0,NA
AK,2013,2,Naltrexone,FFSU,121,46921.72,46921.72,0,16.390289363108575,6355.872464584784,6355.872464584784,0,NA
AK,2013,3,Buprenorphine,FFSU,1033,302952.53,300285.62,2666.9100000000003,139.92701580240626,41037.0217354201,40675.7702758716,361.251459548495,NA
AK,2013,3,Methadone,FFSU,254,5623.5199999999995,5623.5199999999995,0,34.40606196883949,761.7447937126308,761.7447937126308,0,NA
